100 2375
0 1 806
0 5 19
0 6 405
0 8 739
0 9 843
0 12 448
0 13 471
0 14 588
0 16 30
0 18 757
0 19 218
0 20 15
0 21 936
0 22 115
0 23 463
0 26 764
0 27 218
0 28 890
0 29 563
0 30 150
0 31 643
0 32 752
0 33 904
0 35 853
0 37 872
0 40 218
0 41 313
0 42 517
0 43 651
0 44 109
0 45 350
0 46 935
0 47 433
0 49 56
0 50 668
0 51 738
0 52 414
0 53 396
0 55 973
0 57 524
0 58 214
0 60 264
0 61 971
0 62 55
0 63 264
0 64 626
0 65 789
0 66 361
0 67 723
0 68 355
0 69 675
0 70 271
0 72 431
0 75 580
0 77 451
0 78 144
0 79 277
0 80 30
0 81 62
0 83 883
0 84 328
0 86 261
0 87 74
0 88 437
0 90 981
0 91 311
0 92 55
0 93 561
0 94 213
0 96 412
0 97 185
0 99 39
1 2 323
1 3 301
1 4 370
1 8 995
1 9 260
1 10 653
1 11 511
1 13 498
1 14 789
1 16 717
1 17 390
1 18 997
1 20 453
1 21 82
1 22 714
1 23 991
1 25 490
1 26 367
1 27 268
1 28 7
1 29 67
1 30 959
1 31 641
1 32 552
1 34 664
1 35 528
1 37 874
1 39 696
1 40 582
1 41 39
1 43 26
1 46 599
1 48 858
1 49 208
1 50 385
1 51 443
1 52 537
1 54 799
1 55 762
1 57 15
1 58 322
1 59 632
1 61 164
1 62 282
1 65 612
1 67 390
1 68 770
1 71 487
1 73 420
1 74 48
1 75 721
1 76 652
1 78 617
1 79 540
1 82 574
1 83 590
1 84 674
1 85 842
1 88 667
1 89 65
1 90 720
1 93 695
1 94 532
1 95 414
1 97 311
1 98 132
1 99 997
2 3 955
2 4 663
2 5 811
2 6 41
2 8 915
2 9 609
2 10 894
2 11 115
2 12 927
2 13 9
2 14 490
2 15 990
2 16 805
2 17 54
2 18 366
2 19 940
2 20 718
2 22 447
2 23 597
2 24 214
2 26 357
2 27 593
2 28 606
2 29 877
2 30 105
2 31 571
2 32 9
2 33 752
2 35 336
2 36 295
2 37 478
2 38 43
2 40 558
2 42 840
2 43 308
2 44 138
2 47 55
2 48 492
2 49 842
2 50 306
2 51 914
2 54 387
2 55 967
2 57 666
2 58 830
2 59 747
2 60 275
2 61 176
2 63 10
2 65 522
2 66 158
2 67 620
2 69 507
2 70 607
2 71 718
2 72 187
2 73 517
2 74 824
2 75 703
2 76 453
2 77 918
2 80 862
2 81 172
2 82 857
2 84 971
2 85 182
2 86 778
2 87 729
2 89 776
2 91 422
2 92 87
2 93 443
2 95 853
2 96 521
2 99 749
3 4 243
3 5 870
3 6 327
3 7 354
3 8 122
3 9 823
3 10 807
3 11 634
3 12 150
3 14 125
3 15 519
3 16 282
3 18 951
3 21 290
3 22 15
3 23 337
3 24 305
3 27 637
3 29 28
3 30 153
3 31 700
3 32 437
3 33 551
3 34 29
3 36 27
3 37 439
3 42 357
3 43 94
3 44 422
3 46 109
3 47 731
3 48 629
3 49 538
3 50 60
3 51 391
3 52 505
3 53 208
3 54 750
3 56 526
3 58 187
3 59 922
3 60 336
3 61 54
3 62 319
3 63 639
3 64 131
3 65 477
3 66 270
3 67 518
3 68 880
3 71 943
3 72 810
3 74 926
3 75 56
3 76 184
3 77 312
3 78 193
3 81 432
3 82 305
3 84 922
3 85 713
3 86 909
3 87 885
3 89 86
3 92 892
3 93 111
3 94 46
3 95 163
3 96 11
3 97 335
3 98 339
3 99 295
4 6 129
4 7 6
4 8 668
4 9 226
4 10 725
4 11 720
4 12 16
4 13 30
4 14 300
4 15 206
4 16 133
4 18 584
4 19 224
4 20 830
4 22 840
4 24 786
4 25 456
4 26 233
4 28 613
4 29 995
4 30 538
4 31 760
4 32 180
4 33 883
4 34 627
4 35 562
4 37 230
4 38 629
4 39 778
4 40 785
4 41 304
4 43 602
4 44 602
4 45 105
4 46 669
4 48 249
4 49 229
4 50 753
4 51 452
4 52 977
4 53 495
4 54 656
4 55 43
4 56 618
4 57 397
4 60 487
4 61 515
4 63 834
4 64 974
4 66 644
4 67 732
4 68 788
4 69 477
4 72 714
4 73 294
4 75 437
4 77 284
4 78 460
4 79 766
4 80 155
4 81 689
4 82 119
4 83 789
4 84 297
4 85 852
4 87 685
4 88 246
4 89 31
4 91 511
4 92 892
4 93 141
4 94 95
4 95 66
4 96 685
4 97 544
4 98 72
4 99 997
5 7 576
5 8 320
5 9 671
5 10 913
5 11 485
5 12 603
5 14 407
5 15 736
5 16 848
5 18 269
5 20 479
5 21 224
5 22 329
5 23 60
5 24 837
5 25 41
5 26 332
5 27 532
5 28 305
5 29 407
5 30 468
5 31 988
5 32 493
5 33 930
5 34 591
5 37 865
5 38 253
5 43 598
5 44 748
5 45 219
5 46 359
5 47 577
5 48 796
5 49 479
5 50 787
5 51 934
5 53 558
5 55 391
5 58 782
5 59 863
5 60 396
5 61 9
5 62 859
5 64 197
5 65 503
5 66 520
5 67 640
5 71 910
5 72 288
5 75 819
5 76 539
5 77 206
5 78 325
5 79 371
5 80 259
5 81 140
5 82 593
5 84 348
5 85 890
5 87 85
5 88 26
5 90 970
5 91 715
5 92 548
5 94 768
5 95 7
5 96 867
5 97 591
5 98 328
5 99 393
6 7 750
6 9 272
6 11 572
6 12 3
6 14 644
6 15 389
6 16 436
6 17 471
6 19 35
6 20 170
6 21 970
6 22 531
6 23 906
6 24 219
6 25 268
6 26 323
6 28 634
6 30 101
6 31 739
6 32 809
6 33 451
6 34 309
6 35 464
6 37 234
6 38 606
6 39 164
6 40 285
6 41 324
6 42 835
6 43 143
6 44 738
6 45 296
6 46 889
6 47 943
6 48 520
6 49 237
6 50 160
6 53 940
6 55 468
6 56 777
6 57 633
6 61 780
6 64 240
6 65 652
6 66 334
6 67 249
6 68 728
6 69 419
6 70 990
6 71 712
6 72 51
6 74 756
6 75 767
6 76 559
6 77 337
6 79 925
6 80 355
6 81 119
6 82 943
6 83 762
6 85 447
6 86 597
6 87 970
6 88 812
6 89 807
6 90 72
6 92 640
6 94 347
6 95 484
6 96 343
6 97 808
6 99 891
7 9 938
7 10 675
7 12 362
7 13 886
7 14 839
7 15 957
7 16 513
7 17 590
7 18 944
7 19 308
7 20 84
7 21 837
7 22 772
7 23 752
7 25 506
7 31 883
7 32 217
7 33 14
7 34 302
7 36 41
7 37 334
7 38 750
7 39 587
7 40 521
7 41 984
7 42 761
7 44 190
7 45 963
7 46 120
7 47 539
7 48 502
7 49 58
7 50 927
7 51 744
7 53 765
7 54 11
7 55 374
7 56 700
7 59 856
7 60 574
7 61 592
7 62 199
7 65 942
7 66 408
7 67 429
7 69 144
7 70 602
7 71 122
7 72 776
7 74 179
7 75 735
7 76 667
7 77 739
7 78 564
7 79 190
7 80 395
7 82 64
7 84 68
7 85 78
7 86 731
7 87 1
7 89 795
7 90 391
7 92 76
7 93 723
7 94 735
7 95 426
7 96 697
7 97 375
7 98 640
8 9 136
8 11 351
8 12 204
8 13 583
8 15 517
8 16 76
8 18 649
8 20 227
8 21 608
8 25 158
8 27 464
8 28 283
8 31 662
8 32 43
8 33 485
8 34 468
8 35 481
8 36 377
8 37 656
8 38 977
8 39 721
8 40 847
8 41 616
8 44 391
8 45 397
8 46 822
8 47 276
8 48 467
8 49 923
8 50 435
8 51 425
8 52 598
8 54 65
8 55 972
8 56 130
8 57 848
8 58 572
8 60 272
8 61 422
8 62 91
8 63 798
8 65 79
8 66 397
8 68 412
8 69 92
8 70 824
8 71 901
8 72 927
8 73 752
8 74 955
8 75 65
8 76 234
8 77 524
8 78 907
8 79 938
8 80 645
8 82 749
8 83 94
8 86 457
8 87 730
8 88 298
8 89 305
8 90 587
8 92 169
8 93 850
8 94 293
8 96 991
8 97 531
8 98 321
8 99 5
9 10 777
9 13 709
9 14 303
9 15 151
9 16 790
9 17 884
9 19 821
9 20 349
9 21 598
9 23 592
9 24 782
9 25 757
9 26 430
9 27 106
9 29 419
9 30 754
9 31 313
9 32 104
9 33 989
9 35 474
9 36 644
9 37 636
9 38 983
9 39 45
9 40 934
9 42 306
9 43 214
9 46 822
9 47 903
9 49 811
9 50 765
9 51 406
9 52 267
9 53 180
9 54 433
9 56 516
9 57 649
9 58 383
9 59 900
9 60 338
9 61 479
9 62 839
9 63 136
9 64 514
9 65 927
9 66 975
9 68 935
9 69 757
9 70 486
9 71 876
9 73 198
9 74 284
9 75 19
9 76 735
9 79 83
9 85 876
9 86 813
9 88 591
9 90 809
9 91 157
9 92 48
9 94 495
9 96 132
9 97 240
9 98 460
9 99 883
10 13 369
10 14 499
10 15 722
10 16 904
10 17 665
10 18 634
10 20 449
10 21 831
10 22 873
10 23 26
10 24 597
10 26 528
10 28 132
10 30 855
10 31 959
10 32 365
10 33 615
10 34 378
10 35 398
10 36 805
10 37 161
10 38 173
10 39 255
10 40 769
10 41 316
10 42 271
10 43 695
10 46 651
10 49 70
10 51 625
10 53 476
10 54 353
10 55 70
10 56 751
10 57 962
10 59 249
10 61 480
10 62 810
10 63 925
10 64 707
10 66 769
10 68 633
10 69 596
10 70 418
10 71 696
10 73 771
10 74 557
10 75 148
10 77 114
10 78 15
10 79 936
10 80 51
10 81 34
10 82 577
10 83 182
10 84 857
10 85 802
10 89 602
10 90 136
10 91 439
10 92 592
10 93 813
10 95 603
